Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,Dataset
RandomForestClassifier,RNN,0.495394063,0.49454779,0.495352737,0.495394063,0.495372882,Eclipse
SVC,TF-IDF,0.523029683,0.512365059,0.51773093,0.523029683,0.485985232,Eclipse
SVC,DistilBERT,0.543500512,0.541626093,0.542590333,0.543500512,0.542599083,Eclipse
SVC,GCN,0.499488229,0.494883569,0.49545194,0.499488229,0.492931565,Eclipse
SVC,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
KNeighborsClassifier,TF-IDF,0.505629478,0.509873999,0.511205628,0.505629478,0.500238468,Eclipse
KNeighborsClassifier,DistilBERT,0.519959058,0.518415375,0.519239472,0.519959058,0.519402893,Eclipse
KNeighborsClassifier,GCN,0.487205732,0.484218391,0.484780838,0.487205732,0.4845628,Eclipse
KNeighborsClassifier,RNN,0.510747185,0.509475261,0.510271939,0.510747185,0.510432642,Eclipse
MultinomialNB,TF-IDF,0.530194473,0.522610513,0.526820286,0.530194473,0.512474515,Eclipse
MultinomialNB,DistilBERT,0.539406346,0.532205396,0.53730449,0.539406346,0.523750427,Eclipse
MultinomialNB,GCN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MultinomialNB,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MLPClassifier,TF-IDF,0.511770727,0.509395514,0.51026826,0.511770727,0.510204802,Eclipse
MLPClassifier,DistilBERT,0.527123849,0.520394372,0.523487704,0.527123849,0.513245407,Eclipse
MLPClassifier,GCN,0.489252815,0.487578278,0.488350293,0.489252815,0.488576064,Eclipse
MLPClassifier,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
RandomForestClassifier,TF-IDF,0.516888434,0.512270621,0.513626785,0.516888434,0.510441377,Eclipse
RandomForestClassifier,DistilBERT,0.517911975,0.515055487,0.516059524,0.517911975,0.515573941,Eclipse
RandomForestClassifier,GCN,0.485158649,0.480694811,0.480701867,0.485158649,0.478906873,Eclipse
RandomForestClassifier,RNN,0.491299898,0.49085632,0.491671235,0.491299898,0.491443925,Eclipse
SVC,TF-IDF,0.534288639,0.525156137,0.532053625,0.534288639,0.508260634,Eclipse
SVC,DistilBERT,0.5209826,0.517599013,0.51877303,0.5209826,0.517637313,Eclipse
SVC,GCN,0.492323439,0.487993805,0.488331609,0.492323439,0.486510786,Eclipse
SVC,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
KNeighborsClassifier,TF-IDF,0.498464688,0.500201467,0.501000112,0.498464688,0.497715013,Eclipse
KNeighborsClassifier,DistilBERT,0.532241556,0.529735322,0.530824581,0.532241556,0.530501413,Eclipse
KNeighborsClassifier,GCN,0.481064483,0.479376878,0.480132575,0.481064483,0.480376883,Eclipse
KNeighborsClassifier,RNN,0.516888434,0.514316774,0.515260925,0.516888434,0.515026626,Eclipse
MultinomialNB,TF-IDF,0.553735926,0.546476,0.553655,0.553735926,0.53820569,Eclipse
MultinomialNB,DistilBERT,0.502558854,0.496526787,0.497027173,0.502558854,0.491083737,Eclipse
MultinomialNB,GCN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MultinomialNB,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MLPClassifier,TF-IDF,0.509723644,0.505053473,0.506085502,0.509723644,0.503059755,Eclipse
