Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Eclipse,RandomForestClassifier,BERT,0.559877175,0.557701509,0.558894949,0.559877175,0.558624855
Eclipse,SVC,TF-IDF,0.533265097,0.523353424,0.531204271,0.533265097,0.50220848
Eclipse,SVC,BERT,0.51381781,0.510545557,0.511548186,0.51381781,0.510677926
Eclipse,KNeighborsClassifier,TF-IDF,0.501535312,0.49627915,0.49684755,0.501535312,0.492913163
Eclipse,KNeighborsClassifier,BERT,0.531218014,0.528996609,0.529992695,0.531218014,0.529884148
Eclipse,MultinomialNB,TF-IDF,0.530194473,0.521546514,0.526869,0.530194473,0.506839421
Eclipse,MultinomialNB,BERT,0.541453429,0.532946208,0.540413867,0.541453429,0.519336561
Eclipse,MLPClassifier,TF-IDF,0.505629478,0.507664154,0.508559327,0.505629478,0.50455637
Eclipse,MLPClassifier,BERT,0.546571136,0.540813928,0.544816996,0.546571136,0.536838109
Eclipse,RandomForestClassifier,TF-IDF,0.538382805,0.53236699,0.53597044,0.538382805,0.527582725
Eclipse,RandomForestClassifier,BERT,0.525076766,0.522763712,0.523735192,0.525076766,0.523611843
Eclipse,SVC,TF-IDF,0.5209826,0.510151017,0.514868342,0.5209826,0.482526449
Eclipse,SVC,BERT,0.539406346,0.537443547,0.538415663,0.539406346,0.538402491
Eclipse,KNeighborsClassifier,TF-IDF,0.495394063,0.49790348,0.49865915,0.495394063,0.493592287
Eclipse,KNeighborsClassifier,BERT,0.5209826,0.518908551,0.519806989,0.5209826,0.519836374
Eclipse,MultinomialNB,TF-IDF,0.508700102,0.500467992,0.501350503,0.508700102,0.486881259
Eclipse,MultinomialNB,BERT,0.536335722,0.528925256,0.533859887,0.536335722,0.51962762
Eclipse,MLPClassifier,TF-IDF,0.494370522,0.489471232,0.489724821,0.494370522,0.486855349
Eclipse,MLPClassifier,BERT,0.52814739,0.530872773,0.532352614,0.52814739,0.526210264
Eclipse,RandomForestClassifier,TF-IDF,0.505629478,0.499970619,0.500765191,0.505629478,0.495630011
Eclipse,RandomForestClassifier,BERT,0.532241556,0.528835015,0.53026886,0.532241556,0.528890911
Eclipse,SVC,TF-IDF,0.505629478,0.495878314,0.495499003,0.505629478,0.474172243
Eclipse,SVC,BERT,0.496417605,0.493322197,0.494008548,0.496417605,0.493584134
Eclipse,KNeighborsClassifier,TF-IDF,0.489252815,0.484549972,0.484627313,0.489252815,0.482310685
Eclipse,KNeighborsClassifier,BERT,0.546571136,0.544005926,0.545276409,0.546571136,0.544762155
Eclipse,MultinomialNB,TF-IDF,0.550665302,0.543359552,0.550192649,0.550665302,0.534844505
Eclipse,MultinomialNB,BERT,0.5209826,0.512524554,0.515795518,0.5209826,0.498344121
Eclipse,MLPClassifier,TF-IDF,0.503582395,0.499066115,0.499822923,0.503582395,0.497319129
Eclipse,MLPClassifier,BERT,0.515864893,0.529865437,0.560743163,0.515864893,0.449722607
Eclipse,RandomForestClassifier,TF-IDF,0.52814739,0.522851854,0.52510355,0.52814739,0.519718097
Eclipse,RandomForestClassifier,BERT,0.527123849,0.52276791,0.524475359,0.527123849,0.521492067
Eclipse,SVC,TF-IDF,0.574206755,0.566406578,0.578192874,0.574206755,0.55684925
Eclipse,SVC,BERT,0.531218014,0.527114148,0.528854451,0.531218014,0.526269281
Eclipse,KNeighborsClassifier,TF-IDF,0.498464688,0.501920236,0.502786685,0.498464688,0.49489701
Eclipse,KNeighborsClassifier,BERT,0.512794268,0.511280073,0.512090872,0.512794268,0.512268794
Eclipse,MultinomialNB,TF-IDF,0.515864893,0.508094371,0.510179255,0.515864893,0.496769179
Eclipse,MultinomialNB,BERT,0.523029683,0.515638903,0.518642701,0.523029683,0.506039603
Eclipse,MLPClassifier,TF-IDF,0.51381781,0.508826788,0.510106686,0.51381781,0.5062074
