Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Eclipse,SVC,TF-IDF,0.533265097,0.523353424,0.531204271,0.533265097,0.50220848
Eclipse,SVC,DistilBERT,0.543500512,0.540480248,0.541946067,0.543500512,0.540931959
Eclipse,KNeighborsClassifier,TF-IDF,0.501535312,0.49627915,0.49684755,0.501535312,0.492913163
Eclipse,KNeighborsClassifier,DistilBERT,0.519959058,0.517760606,0.518672563,0.519959058,0.518649009
Eclipse,MultinomialNB,TF-IDF,0.530194473,0.521546514,0.526869,0.530194473,0.506839421
Eclipse,MultinomialNB,DistilBERT,0.540429887,0.534089955,0.538240138,0.540429887,0.528431491
Eclipse,MLPClassifier,TF-IDF,0.524053224,0.518751154,0.52074176,0.524053224,0.515550791
Eclipse,MLPClassifier,DistilBERT,0.517911975,0.516365025,0.517186075,0.517911975,0.517353438
Eclipse,RandomForestClassifier,TF-IDF,0.551688843,0.545817034,0.550397177,0.551688843,0.541637783
Eclipse,RandomForestClassifier,DistilBERT,0.558853634,0.557044642,0.558052859,0.558853634,0.558026287
Eclipse,SVC,TF-IDF,0.5209826,0.510151017,0.514868342,0.5209826,0.482526449
Eclipse,SVC,DistilBERT,0.529170931,0.526455182,0.527575355,0.529170931,0.527094622
Eclipse,KNeighborsClassifier,TF-IDF,0.495394063,0.49790348,0.49865915,0.495394063,0.493592287
Eclipse,KNeighborsClassifier,DistilBERT,0.509723644,0.506772241,0.507669504,0.509723644,0.507196769
Eclipse,MultinomialNB,TF-IDF,0.508700102,0.500467992,0.501350503,0.508700102,0.486881259
Eclipse,MultinomialNB,DistilBERT,0.511770727,0.506449054,0.50765639,0.511770727,0.503048876
Eclipse,MLPClassifier,TF-IDF,0.484135107,0.479219482,0.478944222,0.484135107,0.476467806
Eclipse,MLPClassifier,DistilBERT,0.537359263,0.533838121,0.535451219,0.537359263,0.533789922
Eclipse,RandomForestClassifier,TF-IDF,0.503582395,0.498083962,0.498749577,0.503582395,0.494137366
Eclipse,RandomForestClassifier,DistilBERT,0.501535312,0.496933919,0.497593802,0.501535312,0.495005465
Eclipse,SVC,TF-IDF,0.505629478,0.495878314,0.495499003,0.505629478,0.474172243
Eclipse,SVC,DistilBERT,0.53531218,0.532278848,0.533609108,0.53531218,0.532697554
Eclipse,KNeighborsClassifier,TF-IDF,0.489252815,0.484549972,0.484627313,0.489252815,0.482310685
Eclipse,KNeighborsClassifier,DistilBERT,0.534288639,0.532113057,0.53311813,0.534288639,0.533017696
Eclipse,MultinomialNB,TF-IDF,0.550665302,0.543359552,0.550192649,0.550665302,0.534844505
Eclipse,MultinomialNB,DistilBERT,0.536335722,0.529007102,0.5338421,0.536335722,0.520010389
Eclipse,MLPClassifier,TF-IDF,0.496417605,0.499460655,0.500242064,0.496417605,0.493681388
Eclipse,MLPClassifier,DistilBERT,0.553735926,0.542629233,0.561405346,0.553735926,0.515503361
Eclipse,RandomForestClassifier,TF-IDF,0.524053224,0.518751154,0.52074176,0.524053224,0.515550791
Eclipse,RandomForestClassifier,DistilBERT,0.511770727,0.506776438,0.507944102,0.511770727,0.504128273
